buy_signal,count,avg_return,median_return,win_rate,return_period,days
False,464,0.000941718320122276,0.0008574671451697657,0.5172413793103449,return_1d,1
True,31,0.0023449436607602485,0.0049820868786387695,0.5483870967741935,return_1d,1
False,446,0.00503951440753885,0.007928574367880525,0.5538116591928252,return_5d,5
True,29,0.004539054203713864,0.005091590097735077,0.6896551724137931,return_5d,5
False,427,0.014726633865659191,0.018610985020426574,0.6018735362997658,return_10d,10
True,23,0.015000256847475142,0.016445250775443343,0.6956521739130435,return_10d,10
False,382,0.04174333594282287,0.040490364866330175,0.6020942408376964,return_20d,20
True,18,0.05919435007983012,0.05673055393302717,0.7777777777777778,return_20d,20
False,341,0.07725653556412877,0.0994817989891883,0.6451612903225806,return_30d,30
True,9,0.06378714922697618,0.058066068957217665,1.0,return_30d,30
